Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz,Ca/Si
0.001,0,0,0.00012274,0,0.00048018,3.5365e-08,0,4.7254e-10,0,0.00058432,0,0.00011073,0,1.1084
0.0011,0,0,0.00013766,0,0.00053627,4.1133e-08,0,5.077e-10,0,0.00065082,0,0.00012251,0,1.1237
0.00121,0,0,0.00016031,0,0.00062072,4.9664e-08,0,5.5521e-10,0,0.00075045,0,0.00013988,0,1.1461
0.001331,0,0,0.0001957,0,0.0007503,6.2393e-08,0,6.1567e-10,0,0.00090164,0,0.00016537,0,1.1834
0.0014641,0,0,0.00024609,0,0.00093292,8.0177e-08,0,6.8216e-10,0,0.0011134,0,0.0002004,0,1.228
0.0016105,0,0,0.00031219,0,0.0011705,1.0355e-07,0,7.4573e-10,0,0.0013873,0,0.00024491,0,1.2747
0.0017716,0,0,0.00039464,0,0.0014656,1.3324e-07,0,8.0138e-10,0,0.0017263,0,0.00029939,0,1.3181
0.0019487,0,0,0.00049835,0,0.0018332,1.6984e-07,0,8.4738e-10,0,0.002145,0,0.00036496,0,1.3655
0.0021436,0,0,0.00062612,0,0.0022831,2.1481e-07,0,8.8383e-10,0,0.0026534,0,0.00044281,0,1.414
0.002358,0,0,0.00078246,0,0.00283,2.6941e-07,0,9.1194e-10,0,0.0032665,0,0.00053447,0,1.464
0.0025937,0,0,0.0009726,0,0.003491,3.351e-07,0,9.3329e-10,0,0.0040017,0,0.00064173,0,1.5156
0.0028531,0,0,0.0012025,0,0.0042856,4.1376e-07,0,9.4931e-10,0,0.0048788,0,0.00076665,0,1.5685
0.0031384,0,0,0.0014786,0,0.005235,5.073e-07,0,9.6129e-10,0,0.0059196,0,0.0009116,0,1.622
0.0034523,0,0,0.0018085,0,0.0063636,6.181e-07,0,9.7024e-10,0,0.0071491,0,0.0010792,0,1.6757
0.0037975,0,0,0.0020693,0,0.0073223,7.8924e-07,0,9.7927e-10,0,0.0082751,0,0.0012721,0,1.6267
0.0041773,0,0,0.0024318,0,0.008605,9.8025e-07,0,9.8481e-10,0,0.0097247,0,0.001495,0,1.6266
0.004595,0,0,0.0028486,0,0.01008,1.2133e-06,0,9.8883e-10,0,0.011392,0,0.0017513,0,1.6266
0.0050545,0,0,0.0033271,0,0.011774,1.4971e-06,0,9.9175e-10,0,0.013306,0,0.0020455,0,1.6266
0.0055599,0,0,0.0038755,0,0.013714,1.8417e-06,0,9.9388e-10,0,0.015499,0,0.0023826,0,1.6266
0.0061159,0,0,0.0045027,0,0.015934,2.2594e-06,0,9.9544e-10,0,0.018007,0,0.0027682,0,1.6265
0.0067275,0,0,0.0052189,0,0.018469,2.7645e-06,0,9.9658e-10,0,0.020872,0,0.0032086,0,1.6265
0.0074002,0,0,0.0060354,0,0.021359,3.3736e-06,0,9.9742e-10,0,0.024138,0,0.0037107,0,1.6265
0.0081403,0,0,0.0069647,0,0.024647,4.1088e-06,0,9.9805e-10,0,0.027855,0,0.0042821,0,1.6265
0.0089543,0,0,0.0080203,0,0.028384,4.9875e-06,0,9.9851e-10,0,0.032077,0,0.0049312,0,1.6264
0.0098497,0,0,0.0092173,0,0.032621,6.046e-06,0,9.9885e-10,0,0.036865,0,0.0056673,0,1.6264
0.010835,0,0,0.010572,0,0.037415,7.3054e-06,0,9.9911e-10,0,0.042284,0,0.0065003,0,1.6264
0.011918,0,0,0.012101,0,0.042829,8.8095e-06,0,9.993e-10,0,0.048402,0,0.0074409,0,1.6263
0.01311,0,0,0.013825,0,0.048929,1.06e-05,0,9.9945e-10,0,0.055296,0,0.0085007,0,1.6263
0.014421,0,0,0.015761,0,0.055784,1.2721e-05,0,9.9956e-10,0,0.063043,0,0.0096916,0,1.6263
0.015863,0,0,0.017931,0,0.063466,1.5221e-05,0,9.9964e-10,0,0.071725,0,0.011026,0,1.6262
0.017449,0,0,0.020356,0,0.072051,1.8165e-05,0,9.997e-10,0,0.081426,0,0.012518,0,1.6262
0.019194,0,0,0.023057,0,0.081612,2.1619e-05,0,9.9975e-10,0,0.092232,0,0.014179,0,1.6261
0.021114,0,0,0.026055,0,0.092226,2.566e-05,0,9.9979e-10,0,0.10423,0,0.016023,0,1.6261
0.023225,0,0,0.02937,0,0.10396,3.0355e-05,0,9.9982e-10,0,0.11749,0,0.018062,0,1.6261
0.025548,0,0,0.033021,0,0.11689,3.5787e-05,0,9.9984e-10,0,0.1321,0,0.020308,0,1.626
0.028102,0,0,0.036941,0,0.13077,4.195e-05,0,9.9986e-10,0,0.14778,0,0.022719,0,1.626
0.030913,0,0,0.041009,0,0.14517,4.8711e-05,0,9.9987e-10,0,0.16407,0,0.025222,0,1.6259
0.034004,0,0,0.045222,0,0.16009,5.6123e-05,0,9.9988e-10,0,0.18093,0,0.027814,0,1.6259
0.037404,0,0,0.049576,0,0.17551,6.4205e-05,0,9.9988e-10,0,0.19835,0,0.030493,0,1.6258
0.041145,0,0,0.054065,0,0.19141,7.2989e-05,0,9.9989e-10,0,0.21632,0,0.033255,0,1.6258
0.045259,0,0,0.058684,0,0.20777,8.2511e-05,0,9.9989e-10,0,0.2348,0,0.036097,0,1.6257
0.049785,0,0,0.063427,0,0.22457,9.2797e-05,0,9.999e-10,0,0.25379,0,0.039016,0,1.6256
0.054764,0,0,0.068288,0,0.24179,0.00010386,0,9.999e-10,0,0.27325,0,0.042008,0,1.6256
0.06024,0,0,0.073262,0,0.2594,0.00011574,0,9.999e-10,0,0.29316,0,0.045069,0,1.6255
0.066264,0,0,0.078341,0,0.2774,0.00012844,0,9.9991e-10,0,0.31349,0,0.048195,0,1.6255
0.07289,0,0,0.08352,0,0.29574,0.000142,0,9.9991e-10,0,0.33423,0,0.051383,0,1.6254
0.08018,0,0,0.088791,0,0.31442,0.00015645,0,9.9991e-10,0,0.35534,0,0.054628,0,1.6254
0.088197,0,0,0.09415,0,0.33341,0.00017181,0,9.9991e-10,0,0.37679,0,0.057927,0,1.6253
0.097017,0,0,0.099588,0,0.35268,0.0001881,0,9.9991e-10,0,0.39857,0,0.061275,0,1.6252
0.10672,0,0,0.10509,0,0.37216,0.00020526,0,9.9991e-10,0,0.42059,0,0.06466,0,1.6252
0.11739,0,0,0.11062,0,0.39177,0.00022321,0,9.9991e-10,0,0.44275,0,0.068068,0,1.6251
0.12913,0,0,0.11618,0,0.41149,0.00024193,0,9.9991e-10,0,0.46504,0,0.071494,0,1.6251
0.14204,0,0,0.12177,0,0.43127,0.0002614,0,9.9991e-10,0,0.4874,0,0.074932,0,1.625
0.15625,0,0,0.12736,0,0.4511,0.00028162,0,9.9991e-10,0,0.5098,0,0.078376,0,1.6249
0.17187,0,0,0.13295,0,0.47092,0.00030254,0,9.9991e-10,0,0.53221,0,0.081822,0,1.6249
0.18906,0,0,0.13854,0,0.49073,0.00032414,0,9.9991e-10,0,0.55459,0,0.085263,0,1.6248
0.20797,0,0,0.14411,0,0.51048,0.00034639,0,9.9992e-10,0,0.57691,0,0.088695,0,1.6248
0.22876,0,0,0.14965,0,0.53014,0.00036929,0,9.9992e-10,0,0.59914,0,0.092112,0,1.6247
0.25164,0,0,0.15517,0,0.54969,0.00039279,0,9.9992e-10,0,0.62123,0,0.095509,0,1.6246
0.2768,0,0,0.16064,0,0.5691,0.00041686,0,9.9992e-10,0,0.64316,0,0.098881,0,1.6246
0.30448,0,0,0.16606,0,0.58833,0.00044147,0,9.9992e-10,0,0.6649,0,0.10222,0,1.6245
0.33493,0,0,0.17143,0,0.60736,0.00046658,0,9.9992e-10,0,0.68641,0,0.10553,0,1.6245
0.36842,0,0,0.17673,0,0.62617,0.00049213,0,9.9992e-10,0,0.70765,0,0.1088,0,1.6244
0.40526,0,0,0.18196,0,0.64471,0.00051807,0,9.9992e-10,0,0.72861,0,0.11202,0,1.6243
0.44579,0,0,0.18711,0,0.66297,0.00054419,0,9.9992e-10,0,0.74925,0,0.11519,0,1.6243
0.49037,0,0,0.19217,0,0.68094,0.00057045,0,9.9992e-10,0,0.76956,0,0.11832,0,1.6242
0.53941,0,0,0.19716,0,0.69862,0.00059682,0,9.9992e-10,0,0.78954,0,0.12139,0,1.6242
0.59335,0,0,0.20205,0,0.71598,0.00062326,0,9.9992e-10,0,0.80917,0,0.12441,0,1.6241
0.65268,0,0,0.20686,0,0.73304,0.00064973,0,9.9992e-10,0,0.82844,0,0.12737,0,1.6241
0.71795,0,0,0.21157,0,0.74977,0.00067618,0,9.9992e-10,0,0.84734,0,0.13028,0,1.624
0.78975,0,0,0.21619,0,0.76616,0.00070259,0,9.9992e-10,0,0.86588,0,0.13313,0,1.624
0.86872,0,0,0.22072,0,0.78222,0.0007289,0,9.9992e-10,0,0.88403,0,0.13592,0,1.6239
0.95559,0,0,0.22515,0,0.79794,0.00075508,0,9.9992e-10,0,0.90179,0,0.13865,0,1.6239
1.0512,0,0,0.22947,0,0.8133,0.00078109,0,9.9992e-10,0,0.91915,0,0.14132,0,1.6238
1.1563,0,0,0.2337,0,0.82831,0.00080689,0,9.9992e-10,0,0.93611,0,0.14393,0,1.6238
1.2719,0,0,0.23783,0,0.84294,0.00083244,0,9.9992e-10,0,0.95265,0,0.14647,0,1.6237
1.3991,0,0,0.24185,0,0.85721,0.00085768,0,9.9992e-10,0,0.96878,0,0.14895,0,1.6237
1.539,0,0,0.24576,0,0.87112,0.00088263,0,9.9992e-10,0,0.98449,0,0.15136,0,1.6236
1.6929,0,0,0.24957,0,0.88464,0.00090717,0,9.9992e-10,0,0.99978,0,0.15372,0,1.6236
1.8622,0,0,0.25328,0,0.89779,0.00093137,0,9.9992e-10,0,1.0146,0,0.156,0,1.6236
2.0484,0,0,0.25687,0,0.91057,0.00095516,0,9.9992e-10,0,1.0291,0,0.15822,0,1.6235
2.2532,0,0,0.26037,0,0.92296,0.00097853,0,9.9992e-10,0,1.0431,0,0.16037,0,1.6235
2.4786,0,0,0.26375,0,0.93497,0.0010014,0,9.9992e-10,0,1.0567,0,0.16246,0,1.6234
