Time(d),Al(SO4)+,Al(SO4)2-,Al+3,AlO+,AlO2-,AlO2H@,AlOH+2,AlHSiO3+2,AlSiO5-3,Ca(CO3)@,Ca(HCO3)+,Ca(SO4)@,Ca+2,CaOH+,Ca(HSiO3)+,CaSiO3@,Fe(CO3)@,Fe(HCO3)+,Fe(HSO4)+,Fe(SO4)@,Fe+2,FeOH+,Fe(HSO4)+2,Fe(SO4)+,Fe(SO4)2-,Fe+3,Fe2(OH)2+4,Fe3(OH)4+5,FeO+,FeO2-,FeO2H@,FeOH+2,FeHSiO3+2,K(SO4)-,K+,KOH@,Mg(CO3)@,Mg(HCO3)+,Mg+2,MgOH+,MgSO4@,Mg(HSiO3)+,MgSiO3@,Na(CO3)-,Na(HCO3)@,Na(SO4)-,Na+,NaOH@,HSiO3-,Si4O10-4,SiO2@,SiO3-2,CO2@,CO3-2,HCO3-,CH4@,H2@,N2@,O2@,S2O3-2,HSO3-,SO3-2,HSO4-,SO4-2,H2S@,HS-,S-2,OH-,H+,H2O@
0.001,3.316e-30,1.5715e-30,3.3551e-31,2.9003e-19,2.0066e-08,1.2453e-13,6.2699e-25,1.4892e-28,1.977e-13,1.6577e-08,8.0804e-12,0.0051705,0.011509,0.00039642,3.9513e-06,0.00013736,1.2657e-19,3.8027e-23,6.146e-26,2.7656e-15,6.8509e-15,4.5355e-13,0,0,0,0,0,0,7.1345e-19,1.084e-11,2.7196e-14,1.075e-26,8.7054e-31,3.2986e-06,9.8613e-05,1.009e-07,5.1104e-13,4.5154e-16,6.8548e-07,5.2836e-07,3.6996e-07,4.8014e-10,1.0534e-07,3.0995e-16,4.5695e-19,2.4593e-10,1.0318e-08,2.0243e-11,4.5024e-05,3.8503e-14,6.6527e-07,1.3585e-06,5.8904e-16,3.3667e-09,1.1297e-10,1.4888e-21,1.3032e-10,1.0033e-08,0,3.108e-17,1.7721e-17,6.7474e-13,1.5373e-12,0.0096856,1.3941e-12,6.2673e-08,4.0208e-15,0.0040968,3.2006e-12,0.99944
0.0011,2.4596e-30,1.1588e-30,2.5098e-31,2.495e-19,1.929e-08,1.1498e-13,5.0298e-25,1.0126e-28,1.9228e-13,1.6859e-08,6.7568e-12,0.0051702,0.011595,0.00042835,3.6203e-06,0.00013508,9.8877e-20,2.7679e-23,4.9842e-26,2.4073e-15,6.0079e-15,4.2661e-13,0,0,0,0,0,0,6.6467e-19,1.1644e-11,2.7194e-14,9.3391e-27,6.4127e-31,3.5867e-06,0.00010786,1.1845e-07,4.4317e-13,3.6483e-16,6.6738e-07,5.5176e-07,3.5754e-07,4.2502e-10,1.0008e-07,2.5804e-16,3.5413e-19,2.2819e-10,9.63e-09,2.0279e-11,4.1008e-05,2.6602e-14,5.6406e-07,1.3304e-06,4.5579e-16,3.1053e-09,9.3988e-11,1.2438e-21,1.3283e-10,1.0033e-08,0,2.881e-17,1.673e-17,6.8483e-13,1.4238e-12,0.0096425,1.2977e-12,6.2671e-08,4.323e-15,0.0043995,2.9813e-12,0.99943
0.00121,1.6529e-30,7.7133e-31,1.7097e-31,2.085e-19,1.945e-08,1.0657e-13,3.7951e-25,5.9649e-29,1.9141e-13,1.6582e-08,6.9343e-12,0.0051699,0.011735,0.00048022,3.1677e-06,0.00013108,9.1782e-20,2.3166e-23,3.6646e-26,1.963e-15,4.958e-15,3.9002e-13,0,0,0,0,0,0,5.9923e-19,1.2929e-11,2.719e-14,7.6021e-27,4.0743e-31,3.9131e-06,0.00011881,1.4469e-07,4.18e-13,3.1026e-16,7.2238e-07,6.4921e-07,3.4186e-07,3.0828e-10,8.3867e-08,2.6297e-16,3.2494e-19,2.0422e-10,8.7007e-09,2.032e-11,3.5542e-05,1.5164e-14,4.402e-07,1.2823e-06,4.1721e-16,3.3816e-09,9.5417e-11,1.2731e-21,1.3658e-10,1.0033e-08,0,2.5729e-17,1.5363e-17,6.9927e-13,1.2714e-12,0.0095733,1.1668e-12,6.2585e-08,4.8005e-15,0.0048848,2.6871e-12,0.99942
0.001331,1.0163e-30,4.6604e-31,1.0793e-31,1.854e-19,2.5074e-08,1.1276e-13,2.8436e-25,2.9078e-29,2.2565e-13,1.6416e-08,6.3563e-12,0.0051688,0.012009,0.00058356,2.5041e-06,0.00012331,7.089e-20,1.5036e-23,2.1798e-26,1.3895e-15,3.5922e-15,3.3556e-13,0,0,0,0,0,0,5.0346e-19,1.5425e-11,2.7185e-14,5.3817e-27,1.8762e-31,4.2608e-06,0.00013178,1.9097e-07,3.0621e-13,1.91e-16,3.8445e-07,4.1825e-07,1.9889e-07,1.6364e-10,5.0855e-08,2.434e-16,2.5206e-19,1.7325e-10,7.5181e-09,2.0896e-11,2.7581e-05,5.5937e-15,2.8628e-07,1.1907e-06,3.1467e-16,3.5586e-09,8.5796e-11,1.1613e-21,1.432e-10,1.0034e-08,0,2.1235e-17,1.3288e-17,7.2353e-13,1.0487e-12,0.0094407,9.7552e-13,6.2443e-08,5.7307e-15,0.0058223,2.2563e-12,0.9994
0.0014641,2.6865e-31,1.1985e-31,2.9644e-32,7.6713e-20,1.5827e-08,5.7468e-14,9.5815e-26,5.7096e-30,1.2851e-13,1.649e-08,5.181e-12,0.0051673,0.01242,0.00074127,1.8511e-06,0.00011231,4.6778e-20,8.0568e-24,1.1624e-26,9.1248e-16,2.4404e-15,2.8021e-13,0,0,0,0,0,0,4.0839e-19,1.908e-11,2.7175e-14,3.5541e-27,7.2197e-32,4.6201e-06,0.00014675,2.6207e-07,2.7473e-13,1.3919e-16,3.5497e-07,4.7477e-07,1.7759e-07,1.0826e-10,4.1442e-08,1.9698e-16,1.6482e-19,1.3954e-10,6.2176e-09,2.1295e-11,1.9856e-05,1.5432e-15,1.6677e-07,1.0645e-06,2.0167e-16,3.5049e-09,6.8074e-11,9.3929e-22,1.5169e-10,1.0034e-08,0,1.678e-17,1.1123e-17,7.5205e-13,8.2832e-13,0.0092544,7.8526e-13,6.2202e-08,7.0912e-15,0.007195,1.8288e-12,0.99937
0.0016105,6.6247e-32,2.8581e-32,7.6759e-33,3.0375e-20,9.7187e-09,2.8289e-14,3.0706e-26,1.0112e-30,6.921e-14,1.6575e-08,4.1911e-12,0.0051653,0.012962,0.00095708,1.3226e-06,9.9687e-05,3.0204e-20,4.1867e-24,6.0073e-27,5.8589e-16,1.6363e-15,2.3241e-13,0,0,0,0,0,0,3.2853e-19,2.3822e-11,2.7163e-14,2.3135e-27,2.5989e-32,4.9865e-06,0.0001638,3.634e-07,2.455e-13,1.0002e-16,3.2917e-07,5.4477e-07,1.5782e-07,6.8597e-11,3.2652e-08,1.5322e-16,1.0259e-19,1.0795e-10,4.9737e-09,2.1171e-11,1.3718e-05,3.6234e-16,9.207e-08,9.2332e-07,1.264e-16,3.4376e-09,5.323e-11,7.5145e-22,1.6119e-10,1.0035e-08,0,1.3048e-17,9.1991e-18,7.8059e-13,6.4438e-13,0.0090275,6.2479e-13,6.1829e-08,8.8497e-15,0.0089714,1.4696e-12,0.99933
0.0017716,1.8456e-32,7.6802e-33,2.2556e-33,1.3047e-20,6.2107e-09,1.4773e-14,1.0912e-26,2.0499e-31,3.8409e-14,1.6662e-08,3.4654e-12,0.005163,0.013578,0.0012131,9.5682e-07,8.7685e-05,2.0273e-20,2.3077e-24,3.2933e-27,3.9087e-16,1.1438e-15,1.9644e-13,0,0,0,0,0,0,2.7006e-19,2.9123e-11,2.7148e-14,1.5743e-27,1.0082e-32,5.3752e-06,0.00018307,4.9379e-07,1.134e-13,3.7991e-17,1.5835e-07,3.1729e-07,7.2499e-08,2.2806e-11,1.3196e-08,1.1608e-16,6.3536e-20,8.1327e-11,3.8849e-09,2.0116e-11,9.5677e-06,8.9073e-17,5.2529e-08,7.926e-07,8.2426e-17,3.3647e-09,4.2441e-11,6.1231e-22,1.7033e-10,1.0036e-08,0,1.0319e-17,7.7116e-18,8.0466e-13,5.109e-13,0.0087929,5.0616e-13,6.1283e-08,1.079e-14,0.010952,1.2066e-12,0.99928
0.0019487,4.8961e-33,1.9506e-33,6.3877e-34,5.4344e-21,3.8884e-09,7.5155e-15,3.7491e-27,3.8445e-32,2.0334e-14,1.6757e-08,2.8513e-12,0.00516,0.014369,0.0015584,6.7061e-07,7.5107e-05,1.3352e-20,1.2453e-24,1.7665e-27,2.561e-16,7.9275e-16,1.6544e-13,0,0,0,0,0,0,2.2095e-19,3.5815e-11,2.7129e-14,1.0624e-27,3.7143e-33,5.7562e-06,0.0002048,6.7462e-07,7.2605e-14,1.9913e-17,1.0663e-07,2.5959e-07,4.6145e-08,1.0185e-11,7.1988e-09,8.5903e-17,3.8236e-20,5.9832e-11,2.9845e-09,1.887e-11,6.4211e-06,1.8957e-17,2.8651e-08,6.5976e-07,5.2749e-17,3.282e-09,3.3403e-11,4.9408e-22,1.8035e-10,1.0037e-08,0,8.0481e-18,6.4006e-18,8.2743e-13,4.0015e-13,0.0085224,4.0619e-13,6.0533e-08,1.3214e-14,0.013444,9.8566e-13,0.99922
0.0021436,1.3887e-33,5.2775e-34,1.9468e-34,2.3673e-21,2.4815e-09,3.9454e-15,1.3668e-27,7.7206e-33,1.084e-14,1.6853e-08,2.3803e-12,0.0051564,0.01529,0.0019845,4.7041e-07,6.3497e-05,8.987e-21,6.9544e-25,9.7988e-28,1.7121e-16,5.6412e-16,1.4094e-13,0,0,0,0,0,0,1.8319e-19,4.3503e-11,2.7107e-14,7.3722e-28,1.4197e-33,6.1441e-06,0.0002292,9.0973e-07,4.756e-14,1.0823e-17,7.3802e-08,2.1523e-07,3.0023e-08,4.6517e-12,3.9624e-09,6.2786e-17,2.2989e-20,4.3436e-11,2.271e-09,1.7307e-11,4.296e-06,4.0105e-18,1.5769e-08,5.4124e-07,3.4551e-17,3.1959e-09,2.6578e-11,4.0209e-22,1.9025e-10,1.0039e-08,0,6.3145e-18,5.3443e-18,8.4631e-13,3.1645e-13,0.0082444,3.2835e-13,5.9494e-08,1.5922e-14,0.016295,8.1573e-13,0.99915
0.002358,4.2443e-34,0,0,1.0846e-21,1.6215e-09,2.1491e-15,5.3195e-28,1.6781e-33,5.8647e-15,1.6949e-08,2.0144e-12,0.0051522,0.016338,0.0025008,3.3107e-07,5.3127e-05,6.1826e-21,4.0245e-25,5.6327e-28,1.17e-16,4.1202e-16,1.2145e-13,0,0,0,0,0,0,1.5399e-19,5.2156e-11,2.7081e-14,5.264e-28,5.6617e-34,6.5424e-06,0.00025655,1.21e-06,3.1919e-14,6.1096e-18,5.2546e-08,1.8091e-07,2.0015e-08,2.1837e-12,2.2108e-09,4.557e-17,1.3901e-20,3.1315e-11,1.7205e-09,1.5588e-11,2.8762e-06,8.561e-19,8.7975e-09,4.3917e-07,2.3186e-17,3.1086e-09,2.1383e-11,3.291e-22,1.9974e-10,1.0041e-08,0,4.9801e-18,4.4919e-18,8.6093e-13,2.5308e-13,0.0079672,2.6698e-13,5.8076e-08,1.8825e-14,0.019489,6.8428e-13,0.99907
