Time(d),Void,aq_gen,Alite,Aluminate,Anhydrite,Belite,Ferrite,Gypsum,hemihydrate,CSHQ,Portlandite,AFm,AFmc,AFt,MONOSULF,HYDROTALC
0.001,0,0.61921,0.23443,0.008163,0.012981,0.06299,0.045808,0.009927,0.006491,0,0,0,0,0,0,0
0.0011,0.004045,0.5954,0.23538,0.008196,0.006392,0.063168,0.045993,0.038372,0.002916,0.000139,0,0,0,0,0,0
0.00121,0.004051,0.59871,0.23538,0.008196,0.004238,0.063161,0.045994,0.038374,0.001739,0.000155,0,0,0,0,0,0
0.001331,0.004059,0.60089,0.23538,0.008195,0.002799,0.063154,0.045994,0.038378,0.000968,0.000179,0,0,0,0,0,2e-06
0.0014641,0.004077,0.60234,0.23537,0.008195,0.00176,0.063146,0.045995,0.038383,0.000509,0.000216,0,0,0,7e-06,0,2e-06
0.0016105,0.004103,0.60327,0.23536,0.008194,0.001047,0.063138,0.045996,0.038391,0.000219,0.000268,0,0,0,1.5e-05,0,3e-06
0.0017716,0.004137,0.60381,0.23534,0.008192,0.000542,0.06313,0.045997,0.0384,8.4e-05,0.000335,0,0,0,2.4e-05,0,4e-06
0.0019487,0.00418,0.60401,0.23532,0.008191,0.000266,0.063121,0.045998,0.038404,2.8e-05,0.000419,0,0,0,5.4e-05,0,1e-06
0.0021436,0.004231,0.60404,0.2353,0.008189,0.000118,0.063112,0.046,0.038414,3e-06,0.000524,0,0,0,7.3e-05,0,1e-06
0.002358,0.00429,0.60396,0.23526,0.008188,2.8e-05,0.063102,0.046002,0.038424,1e-06,0.000654,0,0,0,9.4e-05,0,1e-06
0.0025937,0.004358,0.60377,0.23522,0.008186,3e-06,0.063091,0.046005,0.038433,1e-06,0.000812,0,0,0,0.000119,0,1e-06
0.0028531,0.004434,0.60354,0.23516,0.008183,1e-06,0.063079,0.046007,0.038442,1e-06,0.001003,0,0,0,0.000147,0,1e-06
0.0031384,0.004518,0.60326,0.2351,0.008181,1e-06,0.063066,0.04601,0.03845,1e-06,0.001234,0,0,0,0.00018,0,1e-06
0.0034523,0.004612,0.60294,0.23502,0.008178,1e-06,0.063051,0.046013,0.038456,1e-06,0.00151,0,0,0,0.000217,0,1e-06
0.0037975,0.004714,0.60257,0.23492,0.008174,1e-06,0.063035,0.046016,0.03846,1e-06,0.001839,0,0,0,0.000259,0,1e-06
0.0041773,0.004682,0.60233,0.23478,0.008169,1e-06,0.063009,0.046013,0.038438,1e-06,0.002112,0.000162,0,0,0.000307,0,1e-06
