Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz
0.001,1e-09,1e-09,0.043157,1e-09,5.7021,5.1193e-06,1.9739e-06,1e-09,1e-09,3.0232,0.042916,0.00012149,1e-09
0.0011,8.6193e-08,1e-09,0.04318,2.5665e-09,5.7021,5.6013e-06,2.1647e-06,1e-09,1e-09,3.0233,0.042917,0.00013293,1e-09
0.00121,1.2368e-06,1e-09,0.043215,5.4971e-08,5.7021,6.1727e-06,2.5612e-06,1e-09,1e-09,3.0233,0.042917,0.00014843,1e-09
0.001331,3.2003e-06,1e-09,0.043279,2.2168e-07,5.7021,6.8511e-06,3.4051e-06,9.9999e-10,1e-09,3.0234,0.042917,0.00017309,1e-09
0.0014641,5.7492e-06,1e-09,0.04337,5.0145e-07,5.7021,7.6357e-06,4.6954e-06,9.9999e-10,1e-09,3.0236,0.042918,0.00020715,1e-09
0.0016105,8.8574e-06,1e-09,0.043488,8.9474e-07,5.7021,8.5312e-06,6.4314e-06,9.9998e-10,1e-09,3.0238,0.042919,0.00025068,1e-09
0.0017716,1.2547e-05,1e-09,0.043637,1.4093e-06,5.7021,9.5462e-06,8.641e-06,9.9997e-10,1e-09,3.0241,0.04292,0.00030433,1e-09
0.0019487,1.6864e-05,1e-09,0.043818,2.0577e-06,5.7021,1.0692e-05,1.1371e-05,9.9997e-10,1e-09,3.0244,0.042922,0.00036909,1e-09
0.0021436,2.1866e-05,1e-09,0.044035,2.8561e-06,5.7021,1.1982e-05,1.468e-05,9.9996e-10,1e-09,3.0248,0.042924,0.00044624,1e-09
0.002358,2.7625e-05,1e-09,0.044293,3.8242e-06,5.7021,1.3431e-05,1.8643e-05,9.9996e-10,1e-09,3.0253,0.042926,0.0005373,1e-09
0.0025937,3.4224e-05,1e-09,0.044597,4.9853e-06,5.7021,1.5057e-05,2.3345e-05,9.9995e-10,1e-09,3.0258,0.042928,0.00064405,1e-09
0.0028531,4.1759e-05,1e-09,0.044954,6.3666e-06,5.7021,1.6878e-05,2.8884e-05,9.9995e-10,1e-09,3.0264,0.042931,0.00076854,1e-09
0.0031384,5.0337e-05,1e-09,0.045369,7.9994e-06,5.7021,1.8918e-05,3.5375e-05,9.9994e-10,1e-09,3.0272,0.042934,0.00091314,1e-09
0.0034523,6.0079e-05,1e-09,0.045852,9.9199e-06,5.7021,2.12e-05,4.2946e-05,9.9994e-10,1e-09,3.028,0.042938,0.0010805,1e-09
0.0037975,7.1123e-05,1e-09,0.04641,1.217e-05,5.7021,2.375e-05,5.1746e-05,9.9993e-10,1e-09,3.029,0.042942,0.0012736,1e-09
0.0041773,8.3647e-05,1e-09,0.047057,1.4801e-05,5.7021,2.6606e-05,6.1964e-05,9.9993e-10,1e-09,3.0302,0.042947,0.0014965,1e-09
0.004595,9.7815e-05,1e-09,0.047802,1.7869e-05,5.7021,2.9799e-05,7.3783e-05,9.9993e-10,1e-09,3.0315,0.042953,0.0017528,1e-09
0.0050545,0.00011382,1e-09,0.048659,2.1436e-05,5.7021,3.3367e-05,8.7423e-05,9.9993e-10,1e-09,3.033,0.04296,0.002047,1e-09
0.0055599,0.00013189,1e-09,0.049644,2.5576e-05,5.7021,3.7351e-05,0.00010313,9.9993e-10,1e-09,3.0347,0.042968,0.0023841,1e-09
0.0061159,0.00015226,1e-09,0.050773,3.0371e-05,5.7021,4.1798e-05,0.00012118,9.9993e-10,1e-09,3.0367,0.042976,0.0027697,1e-09
