Time(d),pH
0.001,11.556
0.0011,11.587
0.00121,11.632
0.001331,11.708
0.0014641,11.8
0.0016105,11.895
0.0017716,11.981
0.0019487,12.07
0.0021436,12.153
0.002358,12.23
0.0025937,12.301
0.0028531,12.368
0.0031384,12.43
0.0034523,12.488
0.0037975,12.435
0.0041773,12.435
0.004595,12.436
0.0050545,12.436
0.0055599,12.436
0.0061159,12.436
0.0067275,12.437
0.0074002,12.437
0.0081403,12.437
0.0089543,12.437
0.0098497,12.438
0.010835,12.438
0.011918,12.439
0.01311,12.439
0.014421,12.44
0.015863,12.441
0.017449,12.441
0.019194,12.442
0.021114,12.443
0.023225,12.444
0.025548,12.445
0.028102,12.446
0.030913,12.447
0.034004,12.448
0.037404,12.449
0.041145,12.45
0.045259,12.452
0.049785,12.453
0.054764,12.455
0.06024,12.456
0.066264,12.458
0.07289,12.459
0.08018,12.461
0.088197,12.463
0.097017,12.465
0.10672,12.467
0.11739,12.469
0.12913,12.471
0.14204,12.473
0.15625,12.476
0.17187,12.478
0.18906,12.48
0.20797,12.482
0.22876,12.485
0.25164,12.487
0.2768,12.489
0.30448,12.492
0.33493,12.494
0.36842,12.497
0.40526,12.499
0.44579,12.502
0.49037,12.504
0.53941,12.506
0.59335,12.509
0.65268,12.511
0.71795,12.513
0.78975,12.516
0.86872,12.518
0.95559,12.52
1.0512,12.522
1.1563,12.524
1.2719,12.526
1.3991,12.528
1.539,12.53
1.6929,12.532
1.8622,12.534
2.0484,12.536
2.2532,12.537
2.4786,12.539
2.7264,12.541
3,12.542
3.3,12.544
3.63,12.545
3.993,12.546
4.3923,12.548
4.8315,12.549
5.3147,12.55
5.8461,12.552
6.4308,12.553
7,12.554
7.7,12.555
8.47,12.556
9.317,12.557
10.249,12.558
11.274,12.559
12.401,12.559
14,12.56
15.4,12.561
16.94,12.562
18.634,12.563
20.497,12.563
22.547,12.564
24.802,12.564
28,12.567
30,12.596
32,12.626
34,12.655
36,12.68
38,12.68
40,12.68
42,12.681
44,12.681
46,12.681
48,12.682
50,12.682
52,12.682
54,12.682
56,12.683
