Time(d),Al,C,Ca,Fe,H,K,Mg,Na,Nit,O,S,Si,Zz,Ca/Si
0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.00121,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.001331,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0014641,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0016105,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0017716,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0019487,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0021436,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.002358,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0025937,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0028531,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0031384,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0034523,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0037975,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0041773,0,0,0.00037481,0,0.0014505,3.6422e-06,0,1.5988e-09,0,0.0017477,0,0.00032293,0,1.1606
0.004595,0,0,0.00094524,0,0.0036581,9.181e-06,0,1.9098e-09,0,0.0044077,0,0.00081441,0,1.1607
0.0050545,0,0,0.0016023,0,0.0062009,1.5552e-05,0,1.9665e-09,0,0.0074716,0,0.0013805,0,1.1607
0.0055599,0,0,0.0022018,0,0.0083802,2.0495e-05,0,1.9803e-09,0,0.0099961,0,0.001797,0,1.2252
0.0061159,0,0,0.0026786,0,0.010062,2.3903e-05,0,1.9853e-09,0,0.011904,0,0.0020916,0,1.2807
0.0067275,0,0,0.0033735,0,0.012387,2.7159e-05,0,1.9885e-09,0,0.014428,0,0.0024237,0,1.3919
0.0074002,0,0,0.004201,0,0.015165,3.0309e-05,0,1.9906e-09,0,0.017417,0,0.0028093,0,1.4954
0.0081403,0,0,0.0051809,0,0.018452,3.3425e-05,0,1.9922e-09,0,0.020924,0,0.0032504,0,1.5939
0.0089543,0,0,0.0060865,0,0.021604,3.8037e-05,0,1.9939e-09,0,0.024417,0,0.0037545,0,1.6211
0.0098497,0,0,0.0070209,0,0.024921,4.389e-05,0,1.9953e-09,0,0.028165,0,0.004331,0,1.6211
