Time(d),C/S in solid
0.001,241.95
0.0011,220.06
0.00121,196.67
0.001331,169.25
0.0014641,142.48
0.0016105,118.85
0.0017716,98.929
0.0019487,82.491
0.0021436,69.042
0.002358,58.062
0.0025937,49.085
0.0028531,41.721
0.0031384,35.657
0.0034523,30.639
0.0037975,26.508
0.0041773,23.114
0.004595,20.162
0.0050545,17.683
0.0055599,15.571
0.0061159,13.791
0.0067275,12.265
0.0074002,10.967
0.0081403,9.8579
0.0089543,8.9308
0.0098497,8.1438
0.010835,7.4674
0.011918,6.8849
0.01311,6.3826
0.014421,5.9489
0.015863,5.5738
0.017449,5.2491
0.019194,4.9679
0.021114,4.7239
0.023225,4.5122
0.025548,4.3284
0.028102,4.1687
0.030913,4.0298
0.034004,3.9121
0.037404,3.8147
0.041145,3.7334
0.045259,3.6649
0.049785,3.6067
0.054764,3.5569
0.06024,3.5141
0.066264,3.4767
0.07289,3.4439
0.08018,3.4149
0.088197,3.3892
0.097017,3.3664
0.10672,3.346
0.11739,3.3276
0.12913,3.3111
0.14204,3.2964
0.15625,3.2829
0.17187,3.2707
0.18906,3.2596
0.20797,3.2497
0.22876,3.2406
0.25164,3.2325
0.2768,3.2274
0.30448,3.2208
0.33493,3.215
0.36842,3.2104
0.40526,3.206
0.44579,3.2024
0.49037,3.1994
0.53941,3.1968
0.59335,3.1944
0.65268,3.1923
0.71795,3.1906
0.78975,3.1891
0.86872,3.1877
0.95559,3.1863
1.0512,3.1851
1.1563,3.1839
1.2719,3.1828
1.3991,3.1818
1.539,3.181
1.6929,3.1803
1.8622,3.1797
2.0484,3.1791
2.2532,3.1786
2.4786,3.1781
2.7264,3.1777
3,3.1773
3.3,3.177
3.63,3.1767
3.993,3.1764
4.3923,3.1761
4.8315,3.1758
5.3147,3.1756
5.8461,3.1753
6.4308,3.1751
7,3.1748
7.7,3.1746
8.47,3.1743
9.317,3.174
10.249,3.1737
11.274,3.1734
12.401,3.1731
14,3.1727
15.4,3.1724
16.94,3.172
18.634,3.1717
20.497,3.1713
22.547,3.1709
24.802,3.1705
28,3.17
30,3.1697
32,3.1694
34,3.1691
36,3.1688
38,3.1686
40,3.1684
42,3.1681
44,3.1679
46,3.1677
48,3.1675
50,3.1673
52,3.1671
54,3.1669
56,3.1667
58,3.1666
60,3.1664
62,3.1662
64,3.1661
66,3.1659
68,3.1658
70,3.1656
72,3.1655
74,3.1653
76,3.1652
78,3.1651
80,3.1649
82,3.1648
84,3.1647
86,3.1646
88,3.1645
90,3.1643
92,3.1642
94,3.1641
96,3.164
98,3.1639
100,3.1638
102,3.1637
104,3.1636
106,3.1635
108,3.1634
110,3.1633
112,3.1632
114,3.1631
116,3.163
118,3.1629
120,3.1628
122,3.1628
124,3.1627
126,3.1626
128,3.1625
130,3.1624
132,3.1623
134,3.1623
136,3.1622
138,3.1621
140,3.162
142,3.162
144,3.1619
146,3.1618
148,3.1617
150,3.1617
152,3.1616
154,3.1615
156,3.1615
158,3.1614
160,3.1613
162,3.1613
164,3.1612
166,3.1611
168,3.1611
170,3.161
172,3.1609
174,3.1609
176,3.1608
178,3.1608
180,3.1607
182,3.1607
184,3.1606
186,3.1605
188,3.1605
190,3.1604
192,3.1604
194,3.1603
196,3.1603
198,3.1602
200,3.1602
202,3.1601
204,3.1601
206,3.16
208,3.1599
210,3.1599
212,3.1598
214,3.1598
216,3.1598
