Time(d),Void,H2O,C3S,C2S,C3A,C4AF,K2SO4,GYPSUM,HEMIANH,DOLOMITE,CH,CSH,AFM,AFMC,MONOSULPH,ETTR,BRUCITE,HYDROTALC,DAMAGE
0.001,0,0.58244,0.2771,0.067902,0.024039,0.027501,0,0.019252,0,0.0017291,0,0,0,0,0,0,3.5228e-05,5.7389e-09,0
0.0011,0,0.58246,0.2771,0.067895,0.024039,0.027501,0,0.019252,0,0.0017128,0,0,0,0,0,0,3.7002e-05,2.4848e-07,0
0.00121,0,0.58249,0.2771,0.067888,0.024038,0.027501,0,0.019252,0,0.001687,0,0,0,0,0,0,3.974e-05,3.4582e-06,0
0.001331,0,0.58254,0.27709,0.067881,0.024036,0.027501,0,0.019252,0,0.0016435,0,0,0,0,0,0,4.537e-05,8.7575e-06,0
0.0014641,0,0.58261,0.27708,0.067872,0.024033,0.027501,0,0.019253,0,0.0015824,0,0,0,0,0,0,5.4016e-05,1.5492e-05,0
0.0016105,0,0.5827,0.27706,0.067863,0.02403,0.027501,0,0.019253,0,0.0015036,0,0,0,0,0,0,6.5699e-05,2.3587e-05,0
0.0017716,0,0.58282,0.27703,0.067852,0.024026,0.0275,0,0.019253,0,0.001406,0,0,0,0,0,0,8.0627e-05,3.3093e-05,0
0.0019487,0,0.58295,0.277,0.067841,0.024022,0.0275,0,0.019254,0,0.0012877,0,0,0,0,0,0,9.9133e-05,4.4116e-05,0
0.0021436,0,0.58311,0.27696,0.067828,0.024017,0.0275,0,0.019254,0,0.0011463,0,0,0,0,0,0,0.00012165,5.6794e-05,0
0.002358,0,0.5833,0.27692,0.067815,0.024011,0.0275,0,0.019255,0,0.00097889,0,0,0,0,0,0,0.00014871,7.1297e-05,0
0.0025937,0,0.58353,0.27686,0.0678,0.024005,0.027499,0,0.019256,0,0.00078194,0,0,0,0,0,0,0.00018093,8.7822e-05,0
0.0028531,0,0.58379,0.2768,0.067783,0.023998,0.027499,0,0.019257,0,0.00055146,0,0,0,0,0,0,0.00021905,0.00010659,0
0.0031384,0,0.5841,0.27672,0.067765,0.02399,0.027498,0,0.019258,0,0.00028285,0,0,0,0,0,0,0.0002639,0.00012787,0
0.0034523,0,0.58439,0.27663,0.067745,0.02398,0.027497,0,0.019292,0,0,0,0,0,0,0,0,0.00031633,0.00015193,0
0.0037975,0,0.58408,0.27652,0.067723,0.02397,0.027497,0,0.019691,0,0,0,0,0,0,0,0,0.00034549,0.0001791,0
0.0041773,0,0.58382,0.27639,0.067698,0.023958,0.027496,0,0.019788,0,0,0,0.00029843,0,0,0,0,0.00040863,0.00020974,0
0.004595,0,0.5836,0.27625,0.067672,0.023945,0.027495,0,0.019795,0,0,0,0.00075263,0,0,0,0,0.00053363,0.00024426,0
0.0050545,0,0.58335,0.27608,0.067643,0.02393,0.027493,0,0.019803,0,0,0,0.0012758,0,0,0,0,0.00067815,0.00028311,0
0.0055599,0,0.58291,0.27588,0.06761,0.023913,0.027492,0,0.019791,0,0,0,0.0017157,0,0,0,0.0002532,0.00077129,0.00024794,0
0.0061159,0,0.58212,0.27565,0.067575,0.023894,0.02749,0,0.019563,0,0,0,0.0020556,0,0,0,0.0012071,0.00088675,0,0
0.0067275,0,0.58152,0.27538,0.067537,0.023873,0.027488,0,0.019686,0,0,0,0.0025315,0,0,0,0.001384,0.00089196,0,0
0.0074002,0,0.58084,0.27507,0.067494,0.02385,0.027486,0,0.019809,0,0,0,0.0031088,0,0,0,0.0015824,0.00089794,0,0
0.0081403,0,0.58011,0.27471,0.067448,0.023824,0.027484,0,0.019914,0,0,0,0.0037961,0,0,0,0.0018049,0.00090482,0,0
0.0089543,0,0.57953,0.2743,0.067397,0.023794,0.027481,0,0.019892,0,0,0.0001918,0.0044491,0,0,0,0.0020541,0.00091271,0,0
0.0098497,0,0.57889,0.27383,0.067341,0.023761,0.027477,0,0.019817,0,0,0.00049404,0.0051322,0,0,0,0.0023332,0.00092176,0,0
0.010835,0,0.57817,0.27328,0.06728,0.023725,0.027473,0,0.019735,0,0,0.00084131,0.005913,0,0,0,0.0026454,0.00093212,0,0
0.011918,0,0.57735,0.27266,0.067214,0.023684,0.027469,0,0.019642,0,0,0.0012399,0.0068051,0,0,0,0.0029946,0.000944,0,0
0.01311,0,0.57642,0.27194,0.067141,0.023638,0.027464,0,0.01954,0,0,0.0016971,0.0078236,0,0,0,0.0033848,0.00095758,0,0
0.014421,0,0.57536,0.27111,0.067061,0.023587,0.027458,0,0.019426,0,0,0.002221,0.0089859,0,0,0,0.0038205,0.00097312,0,0
0.015863,0,0.57416,0.27016,0.066975,0.02353,0.027451,0,0.0193,0,0,0.002821,0.010311,0,0,0,0.0043068,0.00099087,0,0
0.017449,0,0.57279,0.26907,0.06688,0.023467,0.027444,0,0.019159,0,0,0.0035075,0.011822,0,0,0,0.0048491,0.0010111,0,0
0.019194,0,0.57124,0.26782,0.066777,0.023397,0.027435,0,0.019004,0,0,0.0042925,0.013543,0,0,0,0.0054534,0.0010343,0,0
