Time(d),H2O@,C3AFS0.84H4.32,C3FS0.84H4.32,CSHQ-JenD,CSHQ-JenH,CSHQ-TobD,CSHQ-TobH,KSiOH,NaSiOH,ettringite05,Fe-ettringite05,monosulphate1205,Fe-monosulph05,straetlingite,straetlingite7,ettringite,ettringite30,C4AH13,monosulphate12,tricarboalu03,ettringite03_ss,Mg3AlC0.5OH,Mg3FeC0.5OH,M075SH,M15SH,AlOHam,AlOHmic,Gbs,Kln,Gr,C12A7,C2S,C3A,C3S,C4AF,CA,CA2,C2AH7.5,C3AH6,C4AH11,C4AH13-1,C4AH19,CAH10,monosulphate10.5,monosulphate12-1,monosulphate14,monosulphate16,monosulphate9,chabazite,zeoliteP_Ca,straetlingite5.5,monocarbonate9,hemicarbonat10.5,hemicarbonate,hemicarbonate9,monocarbonate,ettringite13,ettringite9,Arg,Cal,C3FH6,C4FH13,C3FS0.84H4.32-1,C3FS1.34H3.32,Fe-hemicarbonate,Femonocarbonate,Dis-Dol,Ord-Dol,Lim,Portlandite,Anh,Gp,hemihydrate,thaumasite,Fe,FeCO3(pr),Sd,Hem,Mag,Fe(OH)3(am),FeOOHmic,Gt,Py,Tro,Melanterite,K2SO4,syngenite,K2O,hydrotalcite,Mgs,Brc,Na2SO4,natrolite,zeoliteX,zeoliteY,Na2O,Sulfur,Qtz,Amor-Sl
0.001,44.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095247,0.014346,0,0,0,0,0,0,17.293,5.575,66.202,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12097,0,0,0,0,0,0,0,0.37948,0,0,0,3.3984,0,0,0,0,0,1.5969e-15,2.3153e-15,0,0,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,8.8478e-07,0,0.0063876,0,0,0,0,0,0,0,0
0.0011,44.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010481,0.015786,0,0,0,0,0,0,17.291,5.575,66.202,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12485,0,0,0,0,0,0,0,0.37591,0,0,0,3.3984,0,0,0,0,0,1.5969e-15,2.3153e-15,0,0,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,3.8308e-05,0,0.0067092,0,0,0,0,0,0,0,0
0.00121,44.412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011743,0.017687,0,0,0,0,0,0,17.289,5.5747,66.202,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13099,0,0,0,0,0,0,0,0.37025,0,0,0,3.3984,0,0,0,0,0,1.5969e-15,2.3153e-15,0,1.6274e-06,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.00053316,0,0.0072056,0,0,0,0,0,0,0,0
0.001331,44.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013676,0.020598,0,0,0,0,0,0,17.287,5.5742,66.2,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14136,0,0,0,0,0,0,0,0.36069,0,0,0,3.3984,0,0,0,0,0,1.5969e-15,2.3153e-15,0,7.6916e-06,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.0013502,0,0.0082264,0,0,0,0,0,0,0,0
0.0014641,44.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016298,0.024547,0,0,0,0,0,0,17.285,5.5736,66.197,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15592,0,0,0,0,0,0,0,0.34728,0,0,0,3.3985,0,0,0,0,0,1.5969e-15,2.3153e-15,0,1.7862e-05,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.0023884,0,0.0097942,0,0,0,0,0,0,0,0
0.0016105,44.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019617,0.029547,0,0,0,0,0,0,17.283,5.5728,66.192,7.8599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17469,0,0,0,0,0,0,0,0.32999,0,0,0,3.3985,0,0,0,0,0,1.5969e-15,2.3153e-15,0,3.2156e-05,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.0036364,0,0.011913,0,0,0,0,0,0,0,0
0.0017716,44.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023685,0.035673,0,0,0,0,0,0,17.28,5.572,66.186,7.8599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19793,0,0,0,0,0,0,0,0.30858,0,0,0,3.3986,0,0,0,0,0,1.5969e-15,2.3153e-15,0,5.0859e-05,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.005102,0,0.014619,0,0,0,0,0,0,0,0
0.0019487,44.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028576,0.04304,0,0,0,0,0,0,17.277,5.571,66.179,7.8598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22611,0,0,0,0,0,0,0,0.28262,0,0,0,3.3987,0,0,0,0,0,1.5969e-15,2.3153e-15,0,7.4428e-05,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.0068014,0,0.017975,0,0,0,0,0,0,0,0
0.0021436,44.446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034387,0.051793,0,0,0,0,0,0,17.274,5.5698,66.17,7.8597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2598,0,0,0,0,0,0,0,0.25159,0,0,0,3.3988,0,0,0,0,0,1.5969e-15,2.3153e-15,0,0.00010346,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.008756,0,0.022058,0,0,0,0,0,0,0,0
0.002358,44.457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041236,0.062107,0,0,0,0,0,0,17.27,5.5685,66.159,7.8596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29969,0,0,0,0,0,0,0,0.21484,0,0,0,3.3989,0,0,0,0,0,1.5969e-15,2.3153e-15,0,0.00013868,8.8852e-16,1.1998e-15,8.7912e-16,0,0,0,0,0.010992,0,0.026964,0,0,0,0,0,0,0,0
