Time(d),Al(SO4)+,Al(SO4)2-,Al+3,AlO+,AlO2-,AlO2H@,AlOH+2,AlHSiO3+2,AlSiO5-3,Ca(CO3)@,Ca(HCO3)+,Ca(SO4)@,Ca+2,CaOH+,Ca(HSiO3)+,CaSiO3@,Fe(CO3)@,Fe(HCO3)+,Fe(HSO4)+,Fe(SO4)@,Fe+2,FeOH+,Fe(HSO4)+2,Fe(SO4)+,Fe(SO4)2-,Fe+3,Fe2(OH)2+4,Fe3(OH)4+5,FeO+,FeO2-,FeO2H@,FeOH+2,FeHSiO3+2,K(SO4)-,K+,KOH@,Mg(CO3)@,Mg(HCO3)+,Mg+2,MgOH+,MgSO4@,Mg(HSiO3)+,MgSiO3@,Na(CO3)-,Na(HCO3)@,Na(SO4)-,Na+,NaOH@,HSiO3-,Si4O10-4,SiO2@,SiO3-2,CO2@,CO3-2,HCO3-,CH4@,H2@,N2@,O2@,S2O3-2,HSO3-,SO3-2,HSO4-,SO4-2,H2S@,HS-,S-2,OH-,H+,H2O@
0.001,6.219e-25,9.152e-25,3.534e-26,7.078e-18,1.9182e-10,5.5113e-14,1.033e-21,1.2784e-25,9.2867e-19,5.3303e-06,1.6092e-07,0.0050474,0.0052069,2.7719e-06,1.4396e-08,9.0922e-09,2.2907e-10,3.7883e-12,1.6517e-17,1.3503e-08,1.5346e-08,1.5862e-08,0,1.8927e-26,6.0946e-27,5.7627e-28,0,0,1.3104e-14,8.0453e-11,9.059e-12,1.3329e-20,5.6242e-25,0.0076875,0.074322,1.3733e-06,2.25e-06,1.0943e-07,0.0036748,4.4959e-05,0.0043952,2.129e-08,8.4854e-08,1.4555e-12,9.6305e-14,3.1158e-09,4.1914e-08,1.4979e-12,5.0757e-07,2.3077e-21,3.3719e-07,4.1852e-10,1.6321e-09,5.1517e-06,6.8376e-06,7.1523e-13,4.596e-10,0.00060361,0,1.8882e-10,1.0701e-14,1.0842e-11,2.5559e-10,0.041259,1.81e-06,0.0018266,3.1788e-12,8.3993e-05,1.6377e-10,0.99741
0.0011,6.2182e-25,9.1514e-25,3.5335e-26,7.0777e-18,1.9183e-10,5.5114e-14,1.0329e-21,1.2784e-25,9.2881e-19,5.3304e-06,1.6092e-07,0.0050474,0.0052068,2.7719e-06,1.4395e-08,9.0921e-09,3.0338e-10,5.0173e-12,2.1876e-17,1.7878e-08,2.0311e-08,2.0993e-08,0,2.5068e-26,8.0723e-27,7.6321e-28,0,0,1.7356e-14,1.0656e-10,1.1998e-11,1.7653e-20,7.4489e-25,0.0076888,0.074331,1.3736e-06,2.2499e-06,1.0942e-07,0.0036746,4.4956e-05,0.0043952,2.1289e-08,8.4854e-08,1.4557e-12,9.6308e-14,3.116e-09,4.1915e-08,1.498e-12,5.0759e-07,2.3087e-21,3.3719e-07,4.1856e-10,1.6321e-09,5.1523e-06,6.8378e-06,7.1521e-13,4.596e-10,0.00060361,0,1.8882e-10,1.0701e-14,1.0843e-11,2.5559e-10,0.041262,1.8099e-06,0.0018266,3.1792e-12,8.3998e-05,1.6376e-10,0.99741
0.00121,6.2187e-25,9.1526e-25,3.5337e-26,7.0776e-18,1.9183e-10,5.5112e-14,1.0329e-21,1.2783e-25,9.2894e-19,5.3302e-06,1.6092e-07,0.0050474,0.0052066,2.7717e-06,1.4395e-08,9.092e-09,6.6833e-10,1.1053e-11,4.8189e-17,3.9396e-08,4.4769e-08,4.6274e-08,0,5.5222e-26,1.7783e-26,1.6812e-27,0,0,3.8232e-14,2.3475e-10,2.6431e-11,3.8888e-20,1.6409e-24,0.0076901,0.074339,1.3737e-06,2.25e-06,1.0943e-07,0.0036745,4.4957e-05,0.0043952,2.1289e-08,8.4853e-08,1.4556e-12,9.6307e-14,3.1161e-09,4.1914e-08,1.4979e-12,5.076e-07,2.3087e-21,3.3719e-07,4.1859e-10,1.6321e-09,5.1525e-06,6.838e-06,7.1517e-13,4.5959e-10,0.00060361,0,1.8883e-10,1.0701e-14,1.0843e-11,2.5561e-10,0.041265,1.8099e-06,0.0018265,3.1791e-12,8.3998e-05,1.6376e-10,0.99741
0.001331,6.2185e-25,9.153e-25,3.5335e-26,7.077e-18,1.9182e-10,5.5108e-14,1.0328e-21,1.2788e-25,9.2955e-19,5.33e-06,1.6091e-07,0.0050474,0.0052064,2.7716e-06,1.4401e-08,9.0964e-09,6.6828e-10,1.1052e-11,4.8187e-17,3.9413e-08,4.4788e-08,4.6296e-08,0,5.522e-26,1.7784e-26,1.6811e-27,0,0,3.8227e-14,2.3472e-10,2.6427e-11,3.8885e-20,1.6413e-24,0.0076916,0.074348,1.3739e-06,2.2501e-06,1.0943e-07,0.0036744,4.496e-05,0.0043952,2.1297e-08,8.4893e-08,1.4556e-12,9.6303e-14,3.1162e-09,4.1912e-08,1.4979e-12,5.0785e-07,2.3094e-21,3.3733e-07,4.1884e-10,1.6321e-09,5.1528e-06,6.8381e-06,7.151e-13,4.5958e-10,0.00060361,0,1.8884e-10,1.0702e-14,1.0844e-11,2.5563e-10,0.041269,1.8098e-06,0.0018265,3.1791e-12,8.4e-05,1.6376e-10,0.99741
0.0014641,6.2159e-25,9.1498e-25,3.5319e-26,7.0749e-18,1.918e-10,5.5096e-14,1.0325e-21,1.2786e-25,9.2955e-19,5.33e-06,1.609e-07,0.0050474,0.0052062,2.7716e-06,1.44e-08,9.0954e-09,6.6854e-10,1.1055e-11,4.8202e-17,3.9414e-08,4.4786e-08,4.6295e-08,0,5.5238e-26,1.7791e-26,1.6816e-27,0,0,3.8245e-14,2.3487e-10,2.6442e-11,3.89e-20,1.642e-24,0.0076929,0.074357,1.3741e-06,2.2501e-06,1.0942e-07,0.0036742,4.4958e-05,0.0043952,2.1296e-08,8.4886e-08,1.4556e-12,9.6295e-14,3.1161e-09,4.1908e-08,1.4978e-12,5.0783e-07,2.3099e-21,3.3731e-07,4.1883e-10,1.632e-09,5.1533e-06,6.8381e-06,7.1502e-13,4.5957e-10,0.0006036,0,1.8884e-10,1.0701e-14,1.0845e-11,2.5563e-10,0.041273,1.8095e-06,0.0018264,3.1793e-12,8.4005e-05,1.6375e-10,0.99741
0.0016105,6.2183e-25,9.1539e-25,3.5332e-26,7.0769e-18,1.9184e-10,5.5109e-14,1.0328e-21,1.278e-25,9.2945e-19,5.3301e-06,1.609e-07,0.0050474,0.005206,2.7715e-06,1.4395e-08,9.0931e-09,6.6856e-10,1.1056e-11,4.8205e-17,3.9413e-08,4.4784e-08,4.6291e-08,0,5.5242e-26,1.7793e-26,1.6816e-27,0,0,3.8244e-14,2.3486e-10,2.6441e-11,3.89e-20,1.6414e-24,0.0076943,0.074365,1.3742e-06,2.2501e-06,1.0942e-07,0.0036741,4.4955e-05,0.0043951,2.1289e-08,8.4863e-08,1.4555e-12,9.6291e-14,3.116e-09,4.1904e-08,1.4976e-12,5.0771e-07,2.3105e-21,3.372e-07,4.1876e-10,1.6322e-09,5.1537e-06,6.8387e-06,7.1496e-13,4.5955e-10,0.0006036,0,1.8884e-10,1.0702e-14,1.0846e-11,2.5565e-10,0.041276,1.8094e-06,0.0018262,3.179e-12,8.4004e-05,1.6375e-10,0.99741
0.0017716,6.2179e-25,9.1537e-25,3.5329e-26,7.0766e-18,1.9185e-10,5.5109e-14,1.0327e-21,1.2782e-25,9.2954e-19,5.3301e-06,1.609e-07,0.0050474,0.0052058,2.7714e-06,1.4394e-08,9.0919e-09,6.6856e-10,1.1055e-11,4.8202e-17,3.9412e-08,4.4781e-08,4.6289e-08,0,5.524e-26,1.7793e-26,1.6815e-27,0,0,3.8244e-14,2.3488e-10,2.6441e-11,3.8899e-20,1.6413e-24,0.0076955,0.074374,1.3744e-06,2.25e-06,1.0942e-07,0.003674,4.4953e-05,0.0043951,2.1287e-08,8.4852e-08,1.4554e-12,9.628e-14,3.1157e-09,4.1898e-08,1.4975e-12,5.0768e-07,2.311e-21,3.3718e-07,4.1874e-10,1.6321e-09,5.1542e-06,6.8389e-06,7.1486e-13,4.5953e-10,0.0006036,0,1.8882e-10,1.0702e-14,1.0846e-11,2.5565e-10,0.041279,1.8091e-06,0.001826,3.1789e-12,8.4007e-05,1.6374e-10,0.99741
0.0019487,6.217e-25,9.153e-25,3.5323e-26,7.0754e-18,1.9183e-10,5.5101e-14,1.0326e-21,1.2783e-25,9.2984e-19,5.33e-06,1.6089e-07,0.0050474,0.0052056,2.7713e-06,1.4396e-08,9.0936e-09,6.6854e-10,1.1055e-11,4.8201e-17,3.9412e-08,4.478e-08,4.6287e-08,0,5.524e-26,1.7795e-26,1.6815e-27,0,0,3.8243e-14,2.3488e-10,2.6441e-11,3.8899e-20,1.6416e-24,0.0076968,0.074382,1.3746e-06,2.2501e-06,1.0942e-07,0.0036738,4.4954e-05,0.0043951,2.129e-08,8.4868e-08,1.4552e-12,9.6263e-14,3.1153e-09,4.189e-08,1.4972e-12,5.0779e-07,2.3096e-21,3.3724e-07,4.1885e-10,1.6321e-09,5.1545e-06,6.8391e-06,7.1472e-13,4.5951e-10,0.0006036,0,1.8881e-10,1.0702e-14,1.0846e-11,2.5566e-10,0.041282,1.8088e-06,0.0018258,3.1785e-12,8.4009e-05,1.6374e-10,0.99741
0.0021436,6.2188e-25,9.156e-25,3.5333e-26,7.0775e-18,1.9189e-10,5.5118e-14,1.0329e-21,1.278e-25,9.2962e-19,5.3302e-06,1.609e-07,0.0050473,0.0052055,2.7713e-06,1.4388e-08,9.0887e-09,6.6855e-10,1.1055e-11,4.8199e-17,3.9411e-08,4.4777e-08,4.6285e-08,0,5.5239e-26,1.7795e-26,1.6814e-27,0,0,3.8243e-14,2.3489e-10,2.6441e-11,3.8898e-20,1.6409e-24,0.007698,0.074389,1.3748e-06,2.2499e-06,1.0941e-07,0.0036737,4.4948e-05,0.0043951,2.1278e-08,8.4821e-08,1.455e-12,9.6248e-14,3.1148e-09,4.1881e-08,1.4969e-12,5.0755e-07,2.312e-21,3.3708e-07,4.1866e-10,1.6322e-09,5.155e-06,6.8395e-06,7.146e-13,4.5948e-10,0.0006036,0,1.8878e-10,1.0701e-14,1.0847e-11,2.5567e-10,0.041285,1.8084e-06,0.0018255,3.1781e-12,8.401e-05,1.6374e-10,0.99741
0.002358,6.2178e-25,9.1551e-25,3.5326e-26,7.0762e-18,1.9187e-10,5.5109e-14,1.0327e-21,1.2784e-25,9.3047e-19,5.33e-06,1.6088e-07,0.0050473,0.0052053,2.7713e-06,1.4406e-08,9.101e-09,6.685e-10,1.1054e-11,4.8195e-17,3.9408e-08,4.4773e-08,4.6283e-08,0,5.5236e-26,1.7795e-26,1.6812e-27,0,0,3.8241e-14,2.3491e-10,2.6442e-11,3.8896e-20,1.6424e-24,0.0076993,0.074397,1.375e-06,2.2501e-06,1.0941e-07,0.0036736,4.4954e-05,0.0043951,2.1306e-08,8.4852e-08,1.4547e-12,9.622e-14,3.1142e-09,4.187e-08,1.4966e-12,5.082e-07,2.312e-21,3.3747e-07,4.1926e-10,1.6321e-09,5.1553e-06,6.8394e-06,7.1439e-13,4.5946e-10,0.0006036,0,1.8875e-10,1.0701e-14,1.0847e-11,2.5567e-10,0.041288,1.8079e-06,0.0018251,3.1778e-12,8.4017e-05,1.6373e-10,0.99741
