Time(d),pH
0.001,9.8594
0.0011,9.8594
0.00121,9.8594
0.001331,9.8594
0.0014641,9.8595
0.0016105,9.8595
0.0017716,9.8595
0.0019487,9.8595
0.0021436,9.8595
0.002358,9.8595
0.0025937,9.8595
0.0028531,9.8595
0.0031384,9.8596
0.0034523,9.8805
0.0037975,11.551
0.0041773,11.891
0.004595,11.891
0.0050545,11.891
0.0055599,12.025
0.0061159,12.139
0.0067275,12.345
0.0074002,12.496
0.0081403,12.609
0.0089543,12.637
0.0098497,12.637
0.010835,12.637
0.011918,12.637
0.01311,12.637
0.014421,12.637
0.015863,12.638
0.017449,12.638
0.019194,12.638
0.021114,12.638
0.023225,12.638
0.025548,12.638
0.028102,12.638
0.030913,12.638
0.034004,12.638
0.037404,12.638
0.041145,12.639
0.045259,12.639
0.049785,12.639
0.054764,12.639
0.06024,12.639
0.066264,12.64
0.07289,12.64
0.08018,12.64
0.088197,12.641
0.097017,12.641
0.10672,12.642
0.11739,12.642
0.12913,12.643
0.14204,12.644
0.15625,12.644
0.17187,12.645
0.18906,12.646
0.20797,12.648
0.22876,12.648
0.25164,12.649
0.2768,12.785
0.30448,12.784
0.33493,12.784
0.36842,12.839
0.40526,12.84
0.44579,12.84
0.49037,12.841
0.53941,12.842
0.59335,12.843
0.65268,12.844
0.71795,12.853
0.78975,12.859
0.86872,12.861
0.95559,12.863
1.0512,12.865
1.1563,12.867
1.2719,12.869
1.3991,12.87
1.539,12.872
1.6929,12.874
1.8622,12.876
2.0484,12.878
2.2532,12.88
2.4786,12.881
2.7264,12.883
3,12.885
3.3,12.887
3.63,12.889
3.993,12.891
4.3923,12.892
4.8315,12.894
5.3147,12.896
5.8461,12.898
6.4308,12.899
7,12.901
7.7,12.902
8.47,12.904
9.317,12.906
10.249,12.907
11.274,12.909
12.401,12.91
14,12.912
15.4,12.913
16.94,12.914
18.634,12.916
20.497,12.917
22.547,12.918
24.802,12.919
28,12.921
30,12.921
32,12.922
34,12.923
36,12.923
38,12.924
40,12.924
42,12.925
44,12.925
46,12.926
48,12.926
50,12.927
52,12.927
54,12.927
56,12.928
58,12.928
60,12.928
62,12.929
64,12.929
66,12.929
68,12.929
70,12.93
72,12.93
74,12.93
76,12.93
78,12.931
80,12.931
82,12.931
84,12.931
86,12.931
88,12.932
90,12.932
92,12.932
94,12.932
96,12.932
98,12.932
100,12.933
102,12.933
104,12.933
106,12.933
108,12.933
110,12.933
112,12.934
114,12.934
116,12.934
118,12.934
120,12.934
122,12.934
124,12.934
126,12.934
128,12.935
130,12.935
132,12.935
134,12.935
136,12.935
138,12.935
140,12.935
142,12.935
144,12.935
146,12.936
148,12.936
150,12.936
152,12.936
154,12.936
156,12.936
158,12.936
160,12.936
162,12.936
164,12.936
166,12.936
168,12.937
170,12.937
172,12.937
174,12.937
176,12.937
178,12.937
180,12.937
182,12.937
184,12.937
186,12.937
188,12.937
190,12.937
192,12.937
194,12.937
196,12.938
198,12.938
200,12.938
202,12.938
204,12.938
206,12.938
208,12.938
210,12.938
212,12.938
214,12.938
216,12.938
218,12.938
220,12.938
222,12.938
224,12.938
226,12.938
228,12.939
230,12.939
232,12.939
234,12.939
236,12.939
238,12.939
240,12.939
242,12.939
244,12.939
246,12.939
248,12.939
250,12.939
252,12.939
254,12.939
256,12.939
258,12.939
260,12.939
262,12.939
264,12.939
266,12.939
268,12.94
270,12.94
272,12.94
274,12.94
276,12.94
278,12.94
280,12.94
282,12.94
284,12.94
286,12.94
288,12.94
290,12.94
292,12.94
294,12.94
296,12.94
298,12.94
300,12.94
302,12.94
304,12.94
306,12.94
308,12.94
310,12.94
312,12.94
314,12.94
316,12.941
318,12.941
320,12.941
322,12.941
324,12.941
326,12.941
328,12.941
330,12.941
332,12.941
334,12.941
336,12.941
338,12.941
340,12.941
342,12.941
344,12.941
346,12.941
348,12.941
350,12.941
352,12.941
354,12.941
356,12.941
358,12.941
360,12.941
362,12.941
364,12.941
366,12.941
368,12.941
370,12.941
372,12.941
374,12.941
376,12.942
378,12.942
380,12.942
382,12.942
384,12.942
386,12.942
388,12.942
390,12.942
392,12.942
394,12.942
396,12.942
398,12.942
400,12.942
402,12.942
404,12.942
406,12.942
408,12.942
410,12.942
412,12.942
414,12.942
416,12.942
418,12.942
420,12.942
422,12.942
424,12.942
426,12.942
428,12.942
430,12.942
432,12.942
434,12.942
436,12.942
438,12.942
440,12.942
442,12.942
444,12.942
446,12.942
448,12.942
450,12.942
452,12.943
454,12.943
456,12.943
458,12.943
460,12.943
462,12.943
464,12.943
466,12.943
468,12.943
470,12.943
472,12.943
474,12.943
476,12.943
478,12.943
480,12.943
482,12.943
484,12.943
486,12.943
488,12.943
490,12.943
492,12.943
494,12.943
496,12.943
498,12.943
500,12.943
502,12.943
504,12.943
506,12.943
508,12.943
510,12.943
512,12.943
514,12.943
516,12.943
518,12.943
520,12.943
522,12.943
524,12.943
526,12.943
528,12.943
530,12.943
532,12.943
534,12.943
536,12.943
538,12.943
540,12.943
542,12.943
544,12.943
546,12.943
548,12.943
550,12.944
552,12.944
554,12.944
556,12.944
558,12.944
560,12.944
562,12.944
564,12.944
566,12.944
568,12.944
570,12.944
572,12.944
574,12.944
576,12.944
578,12.944
580,12.944
582,12.944
584,12.944
586,12.944
588,12.944
590,12.944
592,12.944
594,12.944
596,12.944
598,12.944
600,12.944
